owner,repo_name,url,pull_number,state
osmosis-labs,osmosis,https://github.com/osmosis-labs/osmosis/pull/9027,9027,CLOSED
natolambert,rlhf-book,https://github.com/natolambert/rlhf-book/pull/80,80,CLOSED
Mastercard,terraform-provider-restapi,https://github.com/Mastercard/terraform-provider-restapi/pull/285,285,CLOSED
mrwadams,stride-gpt,https://github.com/mrwadams/stride-gpt/pull/61,61,CLOSED
mrwadams,stride-gpt,https://github.com/mrwadams/stride-gpt/pull/60,60,CLOSED
OpenPipe,ART,https://github.com/OpenPipe/ART/pull/9,9,CLOSED
pymc-devs,pytensor,https://github.com/pymc-devs/pytensor/pull/1248,1248,CLOSED
o1-labs,proof-systems,https://github.com/o1-labs/proof-systems/pull/3175,3175,CLOSED
mattermost,docker,https://github.com/mattermost/docker/pull/168,168,CLOSED
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1846,1846,CLOSED
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1760,1760,CLOSED
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1782,1782,CLOSED
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1733,1733,CLOSED
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1739,1739,CLOSED
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1736,1736,CLOSED
brentyi,jaxls,https://github.com/brentyi/jaxls/pull/27,27,CLOSED
bendotcodes,cookies,https://github.com/bendotcodes/cookies/pull/872,872,CLOSED
ltwlf,json-diff-ts,https://github.com/ltwlf/json-diff-ts/pull/211,211,CLOSED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/599,599,CLOSED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/671,671,CLOSED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/658,658,CLOSED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/664,664,CLOSED
pytorch,test-infra,https://github.com/pytorch/test-infra/pull/6400,6400,CLOSED
pytorch,test-infra,https://github.com/pytorch/test-infra/pull/6404,6404,CLOSED
pytorch,test-infra,https://github.com/pytorch/test-infra/pull/6410,6410,CLOSED
codeforjapan,mapprint,https://github.com/codeforjapan/mapprint/pull/519,519,CLOSED
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/97,97,CLOSED
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/90,90,CLOSED
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/98,98,CLOSED
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/86,86,CLOSED
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/74,74,CLOSED
synapsecns,sanguine,https://github.com/synapsecns/sanguine/pull/3650,3650,CLOSED
synapsecns,sanguine,https://github.com/synapsecns/sanguine/pull/3572,3572,CLOSED
coder,modules,https://github.com/coder/modules/pull/417,417,CLOSED
coder,packages,https://github.com/coder/packages/pull/210,210,CLOSED
empirical-org,Empirical-Core,https://github.com/empirical-org/Empirical-Core/pull/12838,12838,CLOSED
anthropics,devcontainer-features,https://github.com/anthropics/devcontainer-features/pull/5,5,CLOSED
muno92,resharper_inspectcode,https://github.com/muno92/resharper_inspectcode/pull/521,521,CLOSED
snapshot-labs,sx-monorepo,https://github.com/snapshot-labs/sx-monorepo/pull/1254,1254,CLOSED
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/58,58,CLOSED
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/16,16,CLOSED
84codes,crystal-packages,https://github.com/84codes/crystal-packages/pull/31,31,CLOSED
monarch-initiative,aurelian,https://github.com/monarch-initiative/aurelian/pull/18,18,CLOSED
