owner,repo_name,url,pull_number,commits,state,sha,label1,label2,label3,label4,label5,label6,label7
fossas,fossa-cli,1514,https://github.com/fossas/fossa-cli/pull/1514,https://github.com/fossas/fossa-cli/pull/1514/commits/,MERGED,5eb4c78,style,build,chore,,,,
geneontology,go-ontology,30145,https://github.com/geneontology/go-ontology/pull/30145,https://github.com/geneontology/go-ontology/pull/30145/commits/,MERGED,6754c3e,fix,,,,,,
giselles-ai,giselle,481,https://github.com/giselles-ai/giselle/pull/481,https://github.com/giselles-ai/giselle/pull/481/commits/,MERGED,a756541,style,,,,,,
giselles-ai,giselle,508,https://github.com/giselles-ai/giselle/pull/508,https://github.com/giselles-ai/giselle/pull/508/commits/,MERGED,152f418,style,,,,,,
giselles-ai,giselle,555,https://github.com/giselles-ai/giselle/pull/555,https://github.com/giselles-ai/giselle/pull/555/commits/,MERGED,246604d,feat,,,,,,
giselles-ai,giselle,562,https://github.com/giselles-ai/giselle/pull/562,https://github.com/giselles-ai/giselle/pull/562/commits/,MERGED,ac6e7ee,refactor,feat,,,,,
giselles-ai,giselle,571,https://github.com/giselles-ai/giselle/pull/571,https://github.com/giselles-ai/giselle/pull/571/commits/,MERGED,58970dc,style,,,,,,
giselles-ai,giselle,582,https://github.com/giselles-ai/giselle/pull/582,https://github.com/giselles-ai/giselle/pull/582/commits/,MERGED,8cf5360,test,fix,,,,,
giselles-ai,giselle,607,https://github.com/giselles-ai/giselle/pull/607,https://github.com/giselles-ai/giselle/pull/607/commits/,MERGED,397456f,fix,refactor,,,,,
giselles-ai,giselle,618,https://github.com/giselles-ai/giselle/pull/618,https://github.com/giselles-ai/giselle/pull/618/commits/,MERGED,662f69d,chore,,,,,,
giselles-ai,giselle,621,https://github.com/giselles-ai/giselle/pull/621,https://github.com/giselles-ai/giselle/pull/621/commits/,MERGED,048b65a,docs,,,,,,
giselles-ai,giselle,632,https://github.com/giselles-ai/giselle/pull/632,https://github.com/giselles-ai/giselle/pull/632/commits/,MERGED,7ff9f8f,refactor,,,,,,
giselles-ai,giselle,639,https://github.com/giselles-ai/giselle/pull/639,https://github.com/giselles-ai/giselle/pull/639/commits/,MERGED,be5532a,docs,,,,,,
giselles-ai,giselle,641,https://github.com/giselles-ai/giselle/pull/641,https://github.com/giselles-ai/giselle/pull/641/commits/,MERGED,a8112b2,chore,,,,,,
giselles-ai,giselle,646,https://github.com/giselles-ai/giselle/pull/646,https://github.com/giselles-ai/giselle/pull/646/commits/,MERGED,1a2f11e,fix,,,,,,
giselles-ai,giselle,649,https://github.com/giselles-ai/giselle/pull/649,https://github.com/giselles-ai/giselle/pull/649/commits/,MERGED,097fc49,refactor,,,,,,
giselles-ai,giselle,661,https://github.com/giselles-ai/giselle/pull/661,https://github.com/giselles-ai/giselle/pull/661/commits/,MERGED,3d25b84,refactor,docs,build,,,,
giselles-ai,giselle,673,https://github.com/giselles-ai/giselle/pull/673,https://github.com/giselles-ai/giselle/pull/673/commits/,MERGED,aefbf29,ci,,,,,,
giselles-ai,giselle,687,https://github.com/giselles-ai/giselle/pull/687,https://github.com/giselles-ai/giselle/pull/687/commits/,MERGED,5d49fb1,docs,,,,,,
giselles-ai,giselle,695,https://github.com/giselles-ai/giselle/pull/695,https://github.com/giselles-ai/giselle/pull/695/commits/,MERGED,4d259a4,style,perf,,,,,
giselles-ai,giselle,697,https://github.com/giselles-ai/giselle/pull/697,https://github.com/giselles-ai/giselle/pull/697/commits/,MERGED,c15c4c2,refactor,,,,,,
giselles-ai,giselle,716,https://github.com/giselles-ai/giselle/pull/716,https://github.com/giselles-ai/giselle/pull/716/commits/,MERGED,6fce9ae,style,build,,,,,
giselles-ai,giselle,717,https://github.com/giselles-ai/giselle/pull/717,https://github.com/giselles-ai/giselle/pull/717/commits/,MERGED,481a0c1,docs,,,,,,
giselles-ai,giselle,718,https://github.com/giselles-ai/giselle/pull/718,https://github.com/giselles-ai/giselle/pull/718/commits/,MERGED,9fa43bc,fix,,,,,,
giselles-ai,giselle,735,https://github.com/giselles-ai/giselle/pull/735,https://github.com/giselles-ai/giselle/pull/735/commits/,MERGED,47ccb7b,docs,style,,,,,
giselles-ai,giselle,743,https://github.com/giselles-ai/giselle/pull/743,https://github.com/giselles-ai/giselle/pull/743/commits/,MERGED,e88ebab,refactor,feat,,,,,
giselles-ai,giselle,744,https://github.com/giselles-ai/giselle/pull/744,https://github.com/giselles-ai/giselle/pull/744/commits/,MERGED,3a688a6,refactor,,,,,,
giselles-ai,giselle,768,https://github.com/giselles-ai/giselle/pull/768,https://github.com/giselles-ai/giselle/pull/768/commits/,MERGED,d8cba27,docs,,,,,,
github,github-mcp-server,118,https://github.com/github/github-mcp-server/pull/118,https://github.com/github/github-mcp-server/pull/118/commits/,MERGED,e8e9ede,feat,docs,style,,,,
goodjoblife,GoodJobShare,1520,https://github.com/goodjoblife/GoodJobShare/pull/1520,https://github.com/goodjoblife/GoodJobShare/pull/1520/commits/,MERGED,1346024,feat,refactor,chore,fix,,,
grapeot,web_agentic_ai,28,https://github.com/grapeot/web_agentic_ai/pull/28,https://github.com/grapeot/web_agentic_ai/pull/28/commits/,MERGED,011e23b,test,fix,,,,,
haya14busa,action-bumpr,46,https://github.com/haya14busa/action-bumpr/pull/46,https://github.com/haya14busa/action-bumpr/pull/46/commits/,MERGED,2545813,refactor,build,,,,,
hicommonwealth,commonwealth,11935,https://github.com/hicommonwealth/commonwealth/pull/11935,https://github.com/hicommonwealth/commonwealth/pull/11935/commits/,MERGED,89cc075,fix,,,,,,
honeycombio,honeycomb-mcp,22,https://github.com/honeycombio/honeycomb-mcp/pull/22,https://github.com/honeycombio/honeycomb-mcp/pull/22/commits/,MERGED,0a4a39f,docs,,,,,,
honeycombio,honeycomb-mcp,32,https://github.com/honeycombio/honeycomb-mcp/pull/32,https://github.com/honeycombio/honeycomb-mcp/pull/32/commits/,MERGED,5555c07,ci,,,,,,
