owner,repo_name,url,state,stars,Final Label1,Final Label2,Final Label3,Final Label4
beekeeper-studio,beekeeper-studio,https://github.com/beekeeper-studio/beekeeper-studio/pull/2853,MERGED,19376,chore,,,
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/9,MERGED,128,feat,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/27957,MERGED,32708,docs,fix,,
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/16157,MERGED,9923,chore,,,
sakaiproject,sakai,https://github.com/sakaiproject/sakai/pull/12599,MERGED,1151,style,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/167,MERGED,126,feat,,,
567-labs,instructor,https://github.com/567-labs/instructor/pull/1378,MERGED,10691,perf,docs,,
C-Loftus,talon-ai-tools,https://github.com/C-Loftus/talon-ai-tools/pull/181,MERGED,69,refactor,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/72,MERGED,126,chore,,,
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/30,MERGED,18,feat,,,
cloudflare,workerd,https://github.com/cloudflare/workerd/pull/3118,MERGED,6767,fix,,,
lipas-liikuntapaikat,lipas,https://github.com/lipas-liikuntapaikat/lipas/pull/148,MERGED,74,refactor,,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/182,MERGED,646,refactor,,,
beekeeper-studio,beekeeper-studio,https://github.com/beekeeper-studio/beekeeper-studio/pull/2803,MERGED,19376,fix,,,
shandley,awesome-virome,https://github.com/shandley/awesome-virome/pull/59,MERGED,36,ci,fix,,
shandley,awesome-virome,https://github.com/shandley/awesome-virome/pull/55,MERGED,36,feat,,,
MaiM-with-u,MaiBot,https://github.com/MaiM-with-u/MaiBot/pull/174,MERGED,2551,fix,,,
etalab,admin_api_entreprise,https://github.com/etalab/admin_api_entreprise/pull/1703,MERGED,11,chore,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/106,MERGED,126,feat,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/37,MERGED,29,fix,,,
coder,vscode-coder,https://github.com/coder/vscode-coder/pull/421,MERGED,85,fix,,,
Shopify,app_profiler,https://github.com/Shopify/app_profiler/pull/167,MERGED,247,chore,,,
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/26,MERGED,109,chore,,,
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/2,MERGED,20,fix,,,
metabase,metabase,https://github.com/metabase/metabase/pull/56391,MERGED,42215,docs,,,
goodjoblife,GoodJobShare,https://github.com/goodjoblife/GoodJobShare/pull/1322,MERGED,123,fix,,,
modelcontextprotocol,typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk/pull/20,MERGED,7347,fix,,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/199,MERGED,646,docs,,,
tomakado,dumbql,https://github.com/tomakado/dumbql/pull/5,MERGED,46,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/477,MERGED,126,docs,,,
turlockmike,hataraku,https://github.com/turlockmike/hataraku/pull/61,MERGED,31,chore,,,
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/60,MERGED,77,refactor,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/227,MERGED,126,chore,,,
artsy,eigen,https://github.com/artsy/eigen/pull/11810,MERGED,3667,feat,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/766,MERGED,126,feat,,,
prescient-design,cortex,https://github.com/prescient-design/cortex/pull/19,MERGED,41,feat,test,docs,
devondragon,SpringUserFramework,https://github.com/devondragon/SpringUserFramework/pull/148,MERGED,152,chore,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/288,MERGED,126,fix,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/70,MERGED,29,refactor,test,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/24,MERGED,29,style,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/27388,MERGED,32708,test,fix,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30789,MERGED,32708,fix,,,
douvy,btc-tooling,https://github.com/douvy/btc-tooling/pull/23,MERGED,27,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/36,MERGED,126,feat,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/59,MERGED,29,docs,,,
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1772,MERGED,250,refactor,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/250,MERGED,126,feat,,,
mc-bench,mc-bench-frontend,https://github.com/mc-bench/mc-bench-frontend/pull/12,MERGED,16,feat,refactor,,
coder,coder,https://github.com/coder/coder/pull/17223,MERGED,9997,docs,,,
poap-xyz,poap.js,https://github.com/poap-xyz/poap.js/pull/136,MERGED,12,fix,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30582,MERGED,32708,build,,,
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/8,MERGED,128,test,,,
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/22,MERGED,109,feat,,,
mc-bench,mc-bench-frontend,https://github.com/mc-bench/mc-bench-frontend/pull/150,MERGED,16,chore,,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/189,MERGED,646,refactor,feat,,
sublime-security,sublime-rules,https://github.com/sublime-security/sublime-rules/pull/1677,MERGED,310,ci,,,
basicmachines-co,basic-memory,https://github.com/basicmachines-co/basic-memory/pull/4,MERGED,811,feat,,,
umputun,spot,https://github.com/umputun/spot/pull/213,MERGED,441,fix,,,
INCATools,ontology-access-kit,https://github.com/INCATools/ontology-access-kit/pull/749,MERGED,142,docs,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/81,MERGED,126,feat,,,
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/642,MERGED,250,fix,,,
pozar87,apts,https://github.com/pozar87/apts/pull/8,MERGED,10,ci,,,
MaiM-with-u,MaiBot,https://github.com/MaiM-with-u/MaiBot/pull/194,MERGED,2551,fix,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/50,MERGED,29,perf,,,
mc-bench,mc-bench-backend,https://github.com/mc-bench/mc-bench-backend/pull/98,MERGED,29,feat,,,
alexei-led,aws-mcp-server,https://github.com/alexei-led/aws-mcp-server/pull/5,MERGED,121,fix,ci,,
google,tensorstore,https://github.com/google/tensorstore/pull/187,MERGED,1412,fix,,,
tomakado,dumbql,https://github.com/tomakado/dumbql/pull/8,MERGED,46,chore,,,
zenml-io,zenml,https://github.com/zenml-io/zenml/pull/2725,MERGED,4620,fix,,,
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/67,MERGED,77,chore,,,
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/19,MERGED,18,refactor,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/258,MERGED,126,refactor,,,
Tiberriver256,mcp-server-azure-devops,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/161,MERGED,229,feat,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/29799,MERGED,32708,fix,,,
