owner,repo_name,url,state,stars,label1,label2,label3,label4
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/768,MERGED,126,chore,,,
monarch-initiative,aurelian,https://github.com/monarch-initiative/aurelian/pull/22,MERGED,14,feat,docs,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/566,MERGED,126,feat,style,,
defog-ai,introspect,https://github.com/defog-ai/introspect/pull/426,MERGED,322,refactor,,,
JoshuaC215,agent-service-toolkit,https://github.com/JoshuaC215/agent-service-toolkit/pull/202,MERGED,3015,perf,docs,feat,
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/3,MERGED,128,perf,docs,build,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/607,MERGED,126,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/732,MERGED,126,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/728,MERGED,126,fix,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/80,MERGED,29,refactor,test,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/266,MERGED,646,docs,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30424,MERGED,32708,perf,refactor,,
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/15815,MERGED,9923,feat,,,
commontoolsinc,labs,https://github.com/commontoolsinc/labs/pull/837,MERGED,18,fix,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/106,MERGED,29,refactor,test,,
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/102,MERGED,77,fix,,,
grapeot,web_agentic_ai,https://github.com/grapeot/web_agentic_ai/pull/27,MERGED,30,docs,,,
umputun,tg-spam,https://github.com/umputun/tg-spam/pull/260,MERGED,333,fix,test,,
poap-xyz,poap.js,https://github.com/poap-xyz/poap.js/pull/167,MERGED,12,style,docs,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/102,MERGED,29,feat,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/649,MERGED,126,refactor,,,
defog-ai,introspect,https://github.com/defog-ai/introspect/pull/427,MERGED,322,test,,,
defog-ai,defog-python,https://github.com/defog-ai/defog-python/pull/83,MERGED,48,fix,,,
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/29,MERGED,109,ci,,,
PolicyEngine,policyengine-app,https://github.com/PolicyEngine/policyengine-app/pull/2373,MERGED,57,fix,docs,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/100,MERGED,29,refactor,,,
basicmachines-co,basic-memory,https://github.com/basicmachines-co/basic-memory/pull/15,MERGED,811,feat,fix,docs,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/594,MERGED,126,refactor,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/617,MERGED,126,style,,,
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/71,MERGED,868,feat,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/574,MERGED,126,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/513,MERGED,126,feat,,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/276,MERGED,646,chore,fix,,
Erlemar,pytorch_tempest,https://github.com/Erlemar/pytorch_tempest/pull/67,MERGED,220,perf,,,
github,github-mcp-server,https://github.com/github/github-mcp-server/pull/118,MERGED,15004,feat,test,,
INCATools,ontology-access-kit,https://github.com/INCATools/ontology-access-kit/pull/832,MERGED,142,docs,,,
umputun,spot,https://github.com/umputun/spot/pull/258,MERGED,441,chore,,,
oven-sh,bun,https://github.com/oven-sh/bun/pull/17832,MERGED,78436,fix,,,
pozar87,apts,https://github.com/pozar87/apts/pull/14,MERGED,10,feat,test,chore,
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/4,MERGED,128,fix,build,,
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/14,MERGED,109,feat,docs,test,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/118,MERGED,29,refactor,docs,,
llun,activities.next,https://github.com/llun/activities.next/pull/104,MERGED,68,build,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30463,MERGED,32708,refactor,style,,
beekeeper-studio,beekeeper-studio,https://github.com/beekeeper-studio/beekeeper-studio/pull/2860,MERGED,19376,fix,test,,
samzong,mdctl,https://github.com/samzong/mdctl/pull/15,MERGED,15,feat,,,
bearcove,dylo,https://github.com/bearcove/dylo/pull/13,MERGED,20,feat,,,
anthropics,devcontainer-features,https://github.com/anthropics/devcontainer-features/pull/6,MERGED,38,build,,,
anthropics,devcontainer-features,https://github.com/anthropics/devcontainer-features/pull/7,MERGED,38,ci,build,docs,
brentyi,tyro,https://github.com/brentyi/tyro/pull/267,MERGED,646,fix,test,docs,
zenml-io,zenml,https://github.com/zenml-io/zenml/pull/3527,MERGED,4620,docs,,,
qltysh,qlty,https://github.com/qltysh/qlty/pull/1595,MERGED,2655,feat,refactor,,
coder,coder,https://github.com/coder/coder/pull/17161,MERGED,9997,docs,,,
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/70,MERGED,868,fix,,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/291,MERGED,646,feat,test,,
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/13,MERGED,128,chore,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/611,MERGED,126,fix,,,
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/423,MERGED,1223,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/582,MERGED,126,refactor,,,
567-labs,instructor,https://github.com/567-labs/instructor/pull/1479,MERGED,10691,docs,,,
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/100,MERGED,77,feat,,,
mc-bench,mc-bench-frontend,https://github.com/mc-bench/mc-bench-frontend/pull/105,MERGED,16,feat,style,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/290,MERGED,646,feat,refactor,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30581,MERGED,32708,fix,,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/289,MERGED,646,test,,,
