owner,repo_name,pull_number,url,first_commit_changefile,total_changefile
Mastercard,terraform-provider-restapi,286,https://github.com/Mastercard/terraform-provider-restapi/pull/286,CLAUDE.md;README.md;docs/index.md;docs/resources/object.md;examples/workingexamples/midpoint_integration.tf;go.mod;go.sum;main.go;midpoint_extension.md;restapi/api_object.go;restapi/midpoint_mode_test.go;restapi/midpoint_patch_internal_test.go;restapi/midpoint_patch_test.go;restapi/provider.go;restapi/resource_api_object.go;terraform-provider-midpoint-restapi,CLAUDE.md;README.md;docs/data-sources/restapi_object.md;docs/index.md;docs/resources/object.md;docs/resources/restapi_object.md;examples/workingexamples/midpoint_integration.tf;go.mod;go.sum;main.go;midpoint_extension.md;restapi/api_object.go;restapi/common.go;restapi/datasource_api_object.go;restapi/filter_keys_test.go;restapi/midpoint_mode_test.go;restapi/midpoint_patch_internal_test.go;restapi/midpoint_patch_test.go;restapi/provider.go;restapi/resource_api_object.go;restapi/testdata/service.json;restapi/testdata/service_from_midpoint.json;terraform-provider-midpoint-restapi
MinBZK,poc-machine-law,30,https://github.com/MinBZK/poc-machine-law/pull/30,features/steps/steps.py;features/wijziging.feature,features/steps/steps.py;features/wijziging.feature
MinBZK,poc-machine-law,56,https://github.com/MinBZK/poc-machine-law/pull/56,law/algemene_ouderdomswet/SVB-2024-01-01.yaml;law/algemene_ouderdomswet/leeftijdsbepaling/SVB-2024-01-01.yaml;law/awb/beroep/JenV-2024-01-01.yaml;law/awb/bezwaar/JenV-2024-01-01.yaml;law/handelsregisterwet/KVK-2024-01-01.yaml;law/kieswet/KIESRAAD-2024-01-01.yaml;law/participatiewet/bijstand/SZW-2023-01-01.yaml;law/participatiewet/bijstand/gemeenten/GEMEENTE_AMSTERDAM-2023-01-01.yaml;law/penitentiaire_beginselenwet/DJI-2022-01-01.yaml;law/vreemdelingenwet/IND-2024-01-01.yaml;law/wet_brp/RvIG-2020-01-01.yaml;law/wet_forensische_zorg/DJI-2022-01-01.yaml;law/wet_inkomstenbelasting/BELASTINGDIENST-2001-01-01.yaml;law/wet_inkomstenbelasting/UWV-2020-01-01.yaml;law/wet_op_het_centraal_bureau_voor_de_statistiek/CBS-2024-01-01.yaml;law/wet_structuur_uitvoeringsorganisatie_werk_en_inkomen/UWV-2024-01-01.yaml;law/wet_studiefinanciering/DUO-2024-01-01.yaml;law/wetboek_van_strafrecht/JUSTID-2023-01-01.yaml;law/zorgtoeslagwet/TOESLAGEN-2024-01-01.yaml;law/zorgtoeslagwet/TOESLAGEN-2025-01-01.yaml;law/zvw/RVZ-2024-01-01.yaml;schema/v0.1.2/schema.json;schema/v0.1.3/schema.json;script/validate,features/inkomstenbelasting.feature;features/steps/steps.py;law/algemene_ouderdomswet/SVB-2024-01-01.yaml;law/algemene_ouderdomswet/leeftijdsbepaling/SVB-2024-01-01.yaml;law/awb/beroep/JenV-2024-01-01.yaml;law/awb/bezwaar/JenV-2024-01-01.yaml;law/handelsregisterwet/KVK-2024-01-01.yaml;law/kieswet/KIESRAAD-2024-01-01.yaml;law/participatiewet/bijstand/SZW-2023-01-01.yaml;law/participatiewet/bijstand/gemeenten/GEMEENTE_AMSTERDAM-2023-01-01.yaml;law/penitentiaire_beginselenwet/DJI-2022-01-01.yaml;law/vreemdelingenwet/IND-2024-01-01.yaml;law/wet_brp/RvIG-2020-01-01.yaml;law/wet_forensische_zorg/DJI-2022-01-01.yaml;law/wet_inkomstenbelasting/BELASTINGDIENST-2001-01-01.yaml;law/wet_inkomstenbelasting/UWV-2020-01-01.yaml;law/wet_op_het_centraal_bureau_voor_de_statistiek/CBS-2024-01-01.yaml;law/wet_structuur_uitvoeringsorganisatie_werk_en_inkomen/UWV-2024-01-01.yaml;law/wet_studiefinanciering/DUO-2024-01-01.yaml;law/wetboek_van_strafrecht/JUSTID-2023-01-01.yaml;law/zorgtoeslagwet/TOESLAGEN-2024-01-01.yaml;law/zorgtoeslagwet/TOESLAGEN-2025-01-01.yaml;law/zvw/RVZ-2024-01-01.yaml;schema/v0.1.2/schema.json;schema/v0.1.3/schema.json;script/validate;web/services/profiles.py;web/static/logos/BELASTINGDIENST.png;web/templates/partials/tiles/law/wet_inkomstenbelasting/BELASTINGDIENST.html;web/templates/partials/tiles/law/wet_inkomstenbelasting/BELASTINGDIENST/computation.html
MinBZK,poc-machine-law,80,https://github.com/MinBZK/poc-machine-law/pull/80,law/algemene_ouderdomswet/SVB-2024-01-01.yaml;law/kieswet/KIESRAAD-2024-01-01.yaml;law/participatiewet/bijstand/gemeenten/GEMEENTE_AMSTERDAM-2023-01-01.yaml;law/wet_inkomstenbelasting/BELASTINGDIENST-2001-01-01.yaml;law/wet_kinderopvang/TOESLAGEN-2024-01-01.yaml;law/wet_op_de_huurtoeslag/TOESLAGEN-2025-01-01.yaml;law/zorgtoeslagwet/TOESLAGEN-2024-01-01.yaml;law/zorgtoeslagwet/TOESLAGEN-2025-01-01.yaml;machine/service.py;web/main.py;web/routers/admin.py;web/routers/laws.py;web/templates/partials/dashboard.html;web/templates/partials/tiles/law/wet_inkomstenbelasting/BELASTINGDIENST/computation.html,law/algemene_ouderdomswet/SVB-2024-01-01.yaml;law/kieswet/KIESRAAD-2024-01-01.yaml;law/participatiewet/bijstand/gemeenten/GEMEENTE_AMSTERDAM-2023-01-01.yaml;law/wet_inkomstenbelasting/BELASTINGDIENST-2001-01-01.yaml;law/wet_kinderopvang/TOESLAGEN-2024-01-01.yaml;law/wet_op_de_huurtoeslag/TOESLAGEN-2025-01-01.yaml;law/zorgtoeslagwet/TOESLAGEN-2024-01-01.yaml;law/zorgtoeslagwet/TOESLAGEN-2025-01-01.yaml;machine/service.py;web/main.py;web/routers/admin.py;web/routers/laws.py;web/templates/partials/dashboard.html;web/templates/partials/tiles/law/wet_inkomstenbelasting/BELASTINGDIENST/computation.html
MinBZK,poc-machine-law,72,https://github.com/MinBZK/poc-machine-law/pull/72,features/bijstand.feature;law/participatiewet/bijstand/gemeenten/GEMEENTE_AMSTERDAM-2023-01-01.yaml;web/main.py;web/routers/laws.py;web/services/profiles.py;web/templates/partials/tiles/base_tile.html,features/bijstand.feature;law/participatiewet/bijstand/gemeenten/GEMEENTE_AMSTERDAM-2023-01-01.yaml;web/main.py;web/routers/laws.py;web/services/profiles.py;web/templates/partials/tiles/base_tile.html
MinBZK,poc-machine-law,6,https://github.com/MinBZK/poc-machine-law/pull/6,features/steps/steps.py;machine/engine.py,features/steps/steps.py;machine/engine.py;machine/utils.py;web/main.py;web/routers/admin.py;web/routers/laws.py;web/services/profiles.py;web/templates/admin/partials/lane_content.html
MinBZK,poc-machine-law,11,https://github.com/MinBZK/poc-machine-law/pull/11,claims/aggregate.py;claims/application.py;features/steps/steps.py;machine/service.py;simulate.py;web/dependencies.py;web/routers/admin.py;web/routers/laws.py;web/templates/admin/case_detail.html;web/templates/admin/claim_detail.html;web/templates/admin/dashboard.html;web/templates/admin/partials/case_card.html;web/templates/admin/partials/claim_card.html;web/templates/partials/tiles/base_tile.html;web/templates/partials/tiles/components/case_status_badge.html;web/templates/partials/tiles/components/claim_status_badge.html,claims/aggregate.py;claims/application.py;features/steps/steps.py;machine/service.py;simulate.py;web/dependencies.py;web/routers/admin.py;web/routers/laws.py;web/templates/admin/base.html;web/templates/admin/case_detail.html;web/templates/admin/claim_detail.html;web/templates/admin/dashboard.html;web/templates/admin/partials/approval_modal.html;web/templates/admin/partials/case_card.html;web/templates/admin/partials/claim_card.html;web/templates/admin/partials/event_detail.html;web/templates/partials/tiles/base_tile.html;web/templates/partials/tiles/components/case_status_badge.html;web/templates/partials/tiles/components/claim_status_badge.html
MinBZK,poc-machine-law,78,https://github.com/MinBZK/poc-machine-law/pull/78,explain/llm_service.py,explain/llm_service.py
Nayshins,ummon,44,https://github.com/Nayshins/ummon/pull/44,benches/parsing_benchmarks.rs;docs/mcp_integration.md;src/cli.rs;src/commands/mod.rs;src/commands/serve.rs;src/graph/knowledge_graph.rs;src/graph/relationship.rs;src/lib.rs;src/main.rs;src/mcp_core/errors.rs;src/mcp_core/mod.rs;src/mcp_core/router.rs;src/mcp_core/types.rs;src/mcp_server/mod.rs;src/mcp_server/router.rs;src/mcp_server/server.rs;src/mcp_server/transport.rs;test/javascript/mcp_client.js,benches/parsing_benchmarks.rs;docs/mcp_integration.md;src/cli.rs;src/commands/mod.rs;src/commands/serve.rs;src/graph/knowledge_graph.rs;src/graph/relationship.rs;src/lib.rs;src/main.rs;src/mcp_core/errors.rs;src/mcp_core/mod.rs;src/mcp_core/router.rs;src/mcp_core/types.rs;src/mcp_server/mod.rs;src/mcp_server/router.rs;src/mcp_server/server.rs;src/mcp_server/transport.rs;test/javascript/mcp_client.js
Nayshins,ummon,48,https://github.com/Nayshins/ummon/pull/48,Cargo.lock;Cargo.toml,Cargo.lock;Cargo.toml;README.md;docs/query_system.md
