owner,repo_name,url,pull_number,stars,total_commits,changed_files,added_lines,deleted_lines,first_commit_sha,merge_commit_sha,base_commit_sha,pr_final_head_sha,author_login,state
vfarcic,crossplane-sql,https://github.com/vfarcic/crossplane-sql/pull/144,144,15,1,6,132,101,7f9d53da094e83540c699ccd1ea713843c594a15,ffa9c107602bae63711f2b4d37d9641811880c11,2b6175e355c2d5a6feb1382a5559524199bb3a13,7f9d53da094e83540c699ccd1ea713843c594a15,vfarcic,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/111,111,29,4,8,747,113,43796724ceae0b2a9eed54834a1a42e54760a687,154bca5e9b73cea5b2621b0d3426001bbb0ec043,f25b3bf9985f2b9dc1b057a82cee0730a55c0206,9d3a3519f0e70cb68be8054007f037c11135d332,hkusu,MERGED
qltysh,qlty,https://github.com/qltysh/qlty/pull/1964,1964,2655,12,5,139,58,06161cb453ef86d4ec66095bd7c030fce9bcff41,db493004927ef8c87ba78b47a0227c2883bfa41e,d1e9e84c3a51afbece8bacf8bbe2f5874d23e5c1,e31302a1d4bf8c6a8e3b1010a45360e0dc00f2ee,brynary,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30676,30676,32708,6,2,53,27,949cf524a109b9e9d4168a048b8add35825d451f,f1ddeec2f6101d34a2ca19cfb884607c03a5a3df,d0c4780eb18ce07ddfb699d3a08559109f8d85eb,45c386c94ea97a026b5f13c8dbe8005a89ae1aec,hanzei,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30644,30644,32708,6,2,2,2,835925f4adb07334eb86c7df5235922c3b2abca3,df3560ed9c08a22041cf4eff9f583a74bb8b95d1,f1ddeec2f6101d34a2ca19cfb884607c03a5a3df,679910c458cb026b17d6c2a442d95c0ff0f0fbad,hanzei,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/116,116,29,1,7,50,43,dba520483ed3b710ac1546edc5ab00778cba4296,67cb25b98bb4d9d84f20ce6dabe5d5363ad8770e,7f821c1c94c3117a0ed7352bfd2449cfbf4d1cbd,dba520483ed3b710ac1546edc5ab00778cba4296,hkusu,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/108,108,29,1,1,152,0,07e109be28f6a921315b9f74d72a5d517f93264c,8fe08572a1d010fd4b01be4fee5666b13065f215,8706bcf3bca8e3931a35f0924e63340ca823043e,07e109be28f6a921315b9f74d72a5d517f93264c,hkusu,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/113,113,29,1,1,151,0,d4e1bc9ae81ee9be4e47d039b8f8b6c7a57a7846,c5dfa50f2ef999300038993a1ab342251b0da0ba,315a382c32998ffa73fa59fada41a7bb53764309,d4e1bc9ae81ee9be4e47d039b8f8b6c7a57a7846,hkusu,MERGED
ditto-assistant,ditto-app,https://github.com/ditto-assistant/ditto-app/pull/422,422,30,1,7,187,12,32262d9c6332eb800470ca366191e166236bf5f5,6ac907bb215e6dbe17ca95894f30f690c58f8499,ba55ea6b8caeeda34ff19dd973177e417b2ea752,32262d9c6332eb800470ca366191e166236bf5f5,Peyton-Spencer,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/109,109,29,1,12,62,62,7bb775d2d78a19e416375cdabdc9ed9de0d49f73,5d765543515a5783d6cf7021f052392f62c79840,8fe08572a1d010fd4b01be4fee5666b13065f215,7bb775d2d78a19e416375cdabdc9ed9de0d49f73,hkusu,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/110,110,29,1,1,9,9,a8789e5b6c3f911be185ca163c0535a76c785b51,f25b3bf9985f2b9dc1b057a82cee0730a55c0206,5d765543515a5783d6cf7021f052392f62c79840,a8789e5b6c3f911be185ca163c0535a76c785b51,hkusu,MERGED
JoshuaC215,agent-service-toolkit,https://github.com/JoshuaC215/agent-service-toolkit/pull/202,202,3015,2,3,34,2,c593ac8fda839a955cec6367b6464368cef609b3,ba9fc819304a94f1f9930f0ddaf8899a6493dd8c,7da965bac1347a6fd3f7e367a351baa86127f49b,3ca7b418f12bb9c38c64a2e8e9dbb46f14bce444,JoshuaC215,MERGED
brentyi,tyro,https://github.com/brentyi/tyro/pull/288,288,646,3,5,66,23,018a2716017f59d82b4f45627a06cb6ca7689b56,125bec26a9cab28c8f1d25a0f9e9a19e5961dec2,70b543863854f84aec763e69584bbb6eea1065f2,fa21c3bb05284fa5efe259423c71fe77e0853d09,brentyi,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/735,735,126,3,15,414,25,6667f8c0d0c3f1b4b6859dc6531c280f09674527,d66703b5e52f0eee412b0ec60abfa512b97423bd,05d53e4d058a151464dd96f93a58f7517b673dd9,a23c44bb5e8fa181d1b78493fbf67390fbaa65ee,toyamarinyon,MERGED
brentyi,tyro,https://github.com/brentyi/tyro/pull/291,291,646,6,5,500,10,69abcebc74c6ec88d5d3750da47e40d002de7a48,054abc9ba35c1094eaaf93f9e4cd541483e226fd,dd8187b3be408d42f8c12600607f96dc15f2f992,0ed5e30e44f227cb667e99802cb2cd92eb992ebc,brentyi,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/717,717,126,3,5,24,37,e9efb3c1c3bb1dc2fca14e718c4dbd51c4971507,9ea6135fd12bdf96ffbc5f9223b0e5443c25036f,e9bf9abd98f2d87d708dc347850f1421754e94db,481a0c1aa34811999a68ecc89a875dd5f46c75f0,toyamarinyon,MERGED
modelcontextprotocol,python-sdk,https://github.com/modelcontextprotocol/python-sdk/pull/482,482,13842,8,6,229,5,3ea27386873f8a8177dabeb650e36c5ee13814e0,1a330ac672c9237fe8f463cacb599b663f8926ad,017135434eab20a289eba78c50c17079f73eb607,a1b2ed576d59c8e176917861753e6f064b9c0a0b,bhosmer-ant,MERGED
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/445,445,1223,2,2,5,4,1416b8b9535fa05c89c5ff5cb0c807bea246da26,89f3c95cb9a3bb321424ff11da4643bc74a8f564,5a4b5f48a8bbb7697d27a9525c86c63c9eb7dcdf,27ba36a6b571d187522212bef8ed4e71280b4517,brentyi,MERGED
brentyi,tyro,https://github.com/brentyi/tyro/pull/289,289,646,2,3,208,4,57f89631c4db04eb9b2a352daabefa2bc6cf5a19,968b63fe780fd32caeb43fdf977f8e212f7de05a,125bec26a9cab28c8f1d25a0f9e9a19e5961dec2,a19f4c301e4621660c9fc7ea943265b4d3d8bc10,brentyi,MERGED
84codes,crystal-packages,https://github.com/84codes/crystal-packages/pull/30,30,17,1,2,49,20,c7f53bc782a13e0ef91cc0377829f6e0865a1a72,00421a8c0ec1e8096c89d1ec5e4d359f2bc9c65a,103b4485b2311b0ba48215ff4814a269f68f76d0,c7f53bc782a13e0ef91cc0377829f6e0865a1a72,carlhoerberg,MERGED
anthropics,anthropic-quickstarts,https://github.com/anthropics/anthropic-quickstarts/pull/261,261,8994,1,1,11,2,466fd25f69a5c43d7b8f495ba2d30938d459d535,b0870d1ca37a298fd5bb0656987cf97eb3551b15,1ee478a2c27be77e8ea70d860d8cddb9b4d5fcb9,466fd25f69a5c43d7b8f495ba2d30938d459d535,zckly,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/121,121,29,2,1,1,1,9646bc05deca723df84a70de72b565398d2d96a0,44506e406d08cc959206ff3a4b9965b5236a1b3c,33b1dce1ed91e62f76679670d0c973f6b08478cc,429490e234f62426ad01edcbfb1e397c08ed9009,hkusu,MERGED
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/111,111,77,1,1,2,0,7a9bf662d5f7e3347473c33fea034d163279eff5,b11e39eea6ef9b3a3cbedf84edac8c6a13c16118,18dc63f85771b066cf2fcf374bc74ec613269a36,7a9bf662d5f7e3347473c33fea034d163279eff5,dbieber,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/726,726,126,6,3,141,35,e6385a2943606a22aa92fc0bbf7c268755e02fe6,cdd7fe7701517952b50df4699d08f260828b1616,6d4b943c386304b0d1d65b93d0557264d731c38c,1df13c88d537dd48f09a1b25225716603c401e4b,toyamarinyon,MERGED
84codes,crystal-packages,https://github.com/84codes/crystal-packages/pull/29,29,17,4,6,93,143,64f56d9115ca81283be5b92516ceef6303fe1137,267d4f13b6905d00ea49c8f023cb3672a0a5f9a2,103b4485b2311b0ba48215ff4814a269f68f76d0,465146868c381f07f3edcc040bebba5d257b1f8f,carlhoerberg,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30610,30610,32708,4,2,6,4,307992dd41a2b3c6161a236d2b183d9b043ff96b,cd5523f5fb3792bdd060deb0b8ead378c23ad1bf,b7f89984dba086d2b4df439908e202e124744bb4,3e4725f41a639b5b8325e945c5e3671d71c79749,hanzei,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/719,719,126,1,2,0,49,8fae6e00418178cfedebd15505c6157a29a9ecd7,8e44dcc39bed37fa0fb5f4b1619458fdb5d10315,e9bf9abd98f2d87d708dc347850f1421754e94db,8fae6e00418178cfedebd15505c6157a29a9ecd7,toyamarinyon,MERGED
