owner,repo_name,url,pull_number,stars,total_commits,changed_files,added_lines,deleted_lines,first_commit_sha,merge_commit_sha,base_commit_sha,pr_final_head_sha,author_login,state
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/101,101,29,2,3,27,8,54765a4f0c7e74620e106a04b85c2f746b17b8d7,5a4764601179937fa15425161744d1cee9924857,8a8f42453eeb3a502fd928bca30ae5cb08f2317f,6605364e94c5aeaf0992abccfa911c1b190c8cc8,hkusu,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/722,722,126,1,2,236,30,d2ece1d0d3e1f0829bfe26f95cda9abe359e158a,dc5c06b6c1634ccfd5446ae08e285b520e179ba6,9e28727ea20e3c517f93e787093642b7e8e58513,d2ece1d0d3e1f0829bfe26f95cda9abe359e158a,toyamarinyon,MERGED
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/440,440,1223,1,1,4,1,6806c6a739540b4b44818d9c98ff24e47a6e6e34,96f371fff0df4407dd2d6c4403c06f037e4760b9,eea52d5ffaf9b627a92fed0ec89a70a630b7c2dd,6806c6a739540b4b44818d9c98ff24e47a6e6e34,brentyi,MERGED
shopwareLabs,extension-verifier,https://github.com/shopwareLabs/extension-verifier/pull/50,50,32,2,2,99,0,a6067bc761424698e0429c8e3c70b8f144573f0a,0c412a8e9d3201bb7ddf4bb6119975c0db8a1187,22f751555985d7445e87443ef080c2855faf343b,77cbb0fb260448d5b77b07955dff73ef88f77c76,shyim,MERGED
making,yavi,https://github.com/making/yavi/pull/450,450,810,2,9,35,10,4d4e5455dc9ebcb4e70c1907a8a1087a36e3b68e,d85727ff6b470381e7b40bdd820d400bc7ba804b,36e8fe56c205d2626448a83d4cecb690ad2a8578,d38583c78888688e3fba31377925ce1ef7e0de11,making,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/107,107,29,4,12,147,79,644d3ba9b412868d230c7066f792c962aa26114d,8706bcf3bca8e3931a35f0924e63340ca823043e,e0dc09b57a8cd190aca7d252addc9c61f37f1ed9,44f421e4b7a92ac6018106dbcdf4889274b78772,hkusu,MERGED
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/23,23,20,4,2,17,11,4585f07180951fd63e76856b81a40ffcc0747289,9bf691457ea12065be4197c3f6286753b6757c42,835f458dbb65c6f5b70157253f3c649b21e91e3b,d5bae868075557a24b2d30bee0f93717402020e5,aklinker1,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30615,30615,32708,6,3,71,36,daf08b7e9b8f65bc0bc2a1188937451cbbe82649,efd17a37eab6374dbaf3dd15e01a243a46153c6f,6f33b721de76b39a7714bfe0d5e9c1306869a3e3,3b4703892b4e7f653615a2d5622cd7148a2fca0f,hanzei,MERGED
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/19,19,20,1,1,17,8,3c79cc10eeb8a5b337e9f7e62b0101862fd1e723,72f26163edd36fd9dd68a0c58eb83e645e16be22,e2f094ecc490dbe370c9dcb83009feb14c7a50c9,3c79cc10eeb8a5b337e9f7e62b0101862fd1e723,aklinker1,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/99,99,29,2,2,37,15,10a0de683757941b7c7f2313dfdc721823510ecc,978c873d56df427ce54c07c9c6962a49873ef496,574c41a331efb37cacd80c64c9ebe4909b3bc764,881d06025c7f9e1fc47de29e53f7936039f7336b,hkusu,MERGED
tomakado,dumbql,https://github.com/tomakado/dumbql/pull/31,31,46,1,1,25,0,41b60e64fcc3382dc28f5483bc61c816476340b2,27527684cbeec9ab3d7295e9184ecb71cd3c10a0,81bd339934c30261f48320cf0da13f97a7100359,41b60e64fcc3382dc28f5483bc61c816476340b2,tomakado,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/103,103,29,2,2,91,53,8a0585af90d61c0c7ba07f716fc5c07bb08be28f,cba4ac7b5721598bcf782ad94774a29615e549d2,f3180bfec4cb959d37719831320e2ffdca033498,fe477b49e019f8dd43235fc0b71fbb44287fab20,hkusu,MERGED
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/102,102,77,1,1,27,3,c8e0a15135e770b0138bd1ff19e9af76467a1269,a50b4e330fd9573d74436202083fc621f8afb732,74f2ef52665b1283e4aa61882edf3748ae45c429,c8e0a15135e770b0138bd1ff19e9af76467a1269,dbieber,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/96,96,29,3,10,108,85,ed8e4752107699021745c2f0ce6873f0c2a011f8,e660ac51daa54fb8b5e72cf638c8fee079634cda,50d8620629575e43bfa22d4be41c1653464136fe,5c88fcf18a6d1263bd5ea1aa0232f236f743e2f9,hkusu,MERGED
douvy,btc-tooling,https://github.com/douvy/btc-tooling/pull/25,25,27,1,4,397,105,4c66f62277f76e21d83cb3e7d41e5fbb98ecdd88,47c83b9206d3ae7ea202d1f286c181b467b41593,dfdce1c87c98d14d7eeab6d4dfa1cd482057342a,4c66f62277f76e21d83cb3e7d41e5fbb98ecdd88,claudebuildsapps,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/685,685,126,1,1,23,0,ccacf2f49974c640c7176ef9db524df02b500539,0a60d37327f9c737fb0d51d4c466759ce59ac029,78543434933a09241fb7cdbb96407dac745734e0,ccacf2f49974c640c7176ef9db524df02b500539,toyamarinyon,MERGED
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/15,15,128,2,2,26,17,3343b0dd02cc0a673fe6a56eff52e1e0b397f2c3,3a5450a739c29c269fb810df0dc8275e63624fbf,1facbfaecb0e327c56ca19fe35b9ae390ac3f8af,6c714820784425327a0084e326251e425f7c8dac,jamesbrink,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/720,720,126,1,1,123,83,8ba11a32423bc1bf178f080d43027167179a23f0,c7c78755b3427bd2bd27e5eeafe36da0d59e65b2,9ea6135fd12bdf96ffbc5f9223b0e5443c25036f,8ba11a32423bc1bf178f080d43027167179a23f0,toyamarinyon,MERGED
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/449,449,1223,7,5,346,669,4da660fd08c94337eb9cdbb114e39c44c16aec8e,5322ee5374e4c32cbb659601e5405720a6aeb4f1,0cf215c5a5a827ffebaba6a5768d38de8c33f275,8e399c6de5fb23943ead2b60aa205adf1520ea8c,brentyi,MERGED
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/106,106,77,17,3,173,116,307b22ae63e84fd9d009dfbad1e34e24995fe338,3027fc45289b263efeeb07c5e09aa86ece1f2a43,f23f44026a920a67111127b6056328a07817021d,d1f14559804f3a50291ad10cc5cf6b444567f34f,dbieber,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/667,667,126,1,1,1,1,48cc4808caa0bfbefec4450b1578103482691a40,afdf335fdc5528f1aafb1d22cb5d26335b4256d5,3432c72c4570dad3aa574a216eff1dc1f9007d26,48cc4808caa0bfbefec4450b1578103482691a40,toyamarinyon,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/95,95,29,1,1,1,1,2229d55272d5aee8c53c6693a971435c772f0fec,50d8620629575e43bfa22d4be41c1653464136fe,fd04e69c1cf0b4c1cbcd5fa67948c0538ffbe6a6,2229d55272d5aee8c53c6693a971435c772f0fec,hkusu,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30617,30617,32708,3,2,2,2,fa6aae2f0a63ebce2d0acc59f4e184f8f748bda2,4d0109feeb0121eb0ce77f43688e028e0bed76df,a9f09cadc2d5f121cdefbc0b9c255d55c944f327,c44e087daf7617648fefee10f97e28bd1492b8af,hanzei,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30611,30611,32708,2,3,25,5,7fd4fdd7be2e58ac2bed9fe92f5124f7cb0222f0,545de8848694704cb1fd76816f1679588ac04f97,a47269cfe2ce522aa3f33ff3982a7e9e466ec12c,a7bd2f07dd15716f6b7ee07cc276bdda6b7039d4,hanzei,MERGED
sakaiproject,sakai,https://github.com/sakaiproject/sakai/pull/13561,13561,1151,5,10,1,1093,4e94a6e326b8000c118633ea6fbc8ecedf8bafa0,8d48b44003ec1dee2d40de627aabc696cbc1dd41,d03dc5f7118ddcd363adb8a57cd5e9c673503a36,dc500ec0c4eead8b26cda4e2d8a60a098a2a395b,ottenhoff,MERGED
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/435,435,1223,2,4,22,16,e7d47b1b543315d214d657b153e6435316854b14,c3c8b8a0fc19347549163db9d6dece4f8364f574,a6bf30e59abf4a5deede3ed6667ae2639e56ee31,8b74e742fb092998fea7001312a0811e705654c4,brentyi,MERGED
synapsecns,sanguine,https://github.com/synapsecns/sanguine/pull/3658,3658,49,2,12,0,6713,d93fa93f01b8dffef52edeb945082aecd5f7cc06,dd624bce4018f538af8897843fbec0236f69b198,a935e216dba26adb095a6d629f75b8d7c914ad40,ae7f8cb98fdc879c9a98f8cff18b91854f7c7e4d,trajan0x,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/695,695,126,9,40,247,450,646adc9ccbddcebb58bb5117106fe2d30ae7710a,dfc2238fc73780483ea5786220869783cc93f996,c7e0bbe149f03ac0c1894ee3b9e2d9ca774b4e29,f9356079fe49ce56ca04e821098432916367032b,toyamarinyon,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/687,687,126,2,5,546,537,cfcdd6fcc91c903456e7c793e602239b57720a44,aa60f0861543953e464b39a4574bd64aa4cbc05b,8cbd8cf62ac9b0d2ec1053e26737b71c7053f222,5d49fb159e355b6b8eaffc2067d57b6db356e831,toyamarinyon,MERGED
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/10,10,128,1,5,9,14,5801846efd44f248b17c018e391cc6e0d5880a01,bfa42c42707adacc45390bf45270f5abc12c1bd1,32a58be3ed68d84f6aab86e4c2a8c7b8d821d882,5801846efd44f248b17c018e391cc6e0d5880a01,jamesbrink,MERGED
basicmachines-co,basic-memory,https://github.com/basicmachines-co/basic-memory/pull/88,88,811,6,24,508,394,c45473978b3884eab2a5b287da0addf50317cc94,78a3412bcff83b46e78e26f8b9fce42ed9e05991,fa314b5d2b4a400c1d355e2b95a428ae0569df97,b9247ed0114e5533a8ff35146929525434c0ecd4,phernandez,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/97,97,29,6,16,284,242,919a84eaac5e72519d968249425cf27f5c53741c,2d9e4b2c2f3db901ee754ca2372dc325489fa3b3,e660ac51daa54fb8b5e72cf638c8fee079634cda,0421dd0b2042f82ca75255b5590d039231106604,hkusu,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/90,90,29,1,1,43,0,aa0d9722c65a47ef80290e04eefc60096f3ce760,54f6f0cc9cb48f83702353590d70762f66fd3ad9,ee9fcd85feada6025af7d1494347aaba49531c07,aa0d9722c65a47ef80290e04eefc60096f3ce760,hkusu,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/89,89,29,1,1,1,1,53bbc6097ad9be3e7c4e6b0e56268a3bc46dfbdf,7830520452154bccea53ee0d14ca5efcc96b5109,ee9fcd85feada6025af7d1494347aaba49531c07,53bbc6097ad9be3e7c4e6b0e56268a3bc46dfbdf,hkusu,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30613,30613,32708,1,2,13,4,0a71acea4e87a9aa52ba3ad84111900fce82fef0,a6492b5b9f9a486220210d6ed7e7c0e9b7cc7e5b,a47269cfe2ce522aa3f33ff3982a7e9e466ec12c,0a71acea4e87a9aa52ba3ad84111900fce82fef0,hanzei,MERGED
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/441,441,1223,8,13,240,51,164e738d71a43aa5480eb00adb0720c7d6388604,d1a0c1ed5515fb308bdc5822d6c1ad5c884f7f25,96f371fff0df4407dd2d6c4403c06f037e4760b9,9605958bbc20f1a50ba382ecfb93a5da86cf3a8d,brentyi,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30601,30601,32708,3,1,10,9,b1bb9d7f3932161eec06ab0fe2f1a18d70e5af3c,d84be84f6916bf4a5448f8d5ee02ddca14b79d4a,1f0a180386ab23dec61aa4e094b14bd9af8866f8,aecca23d505380b45fddd4c39fa3e5f209d54c27,lieut-data,MERGED
ComposioHQ,composio,https://github.com/ComposioHQ/composio/pull/1567,1567,25453,5,3,215,8,4f563cff6021cd37f9fd46e32631f84c8fbd0e9f,fb798321fc8929ae9997cfcf022cdb7de62aa76b,ffb2ff9fc7ace3899c0c68832e68f4da1cf873dd,852e0cffcf99bd13065ddd36bb70ac23f85ca32d,alt-glitch,MERGED
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/32,32,23,5,14,1432,16,25807631c20d54f3468f7bb38586c3c000968031,3f0b4541e59963bb9a6568412098dc9d651c2a14,f01dc1eebf44b0b7647e2d7a1b1341f423a7acd4,ae3c9d928b9f55e2d31e52b68bf0248050f5cc97,austinlparker,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/743,743,126,9,13,276,61,56df851ea0d382e83b584480fe625ec95a64a223,1d10a7c086fc9042eaea400817a2439599f4caf3,a8ef905db00634ac89d99871e7442112bf7b1a6f,5b566d0faa38d25794f9f4f9b1db46d6fa7686b0,toyamarinyon,MERGED
PolicyEngine,policyengine-api,https://github.com/PolicyEngine/policyengine-api/pull/2325,2325,12,2,2,5,1,63b9c44cc38b35caf46310ff2744b52b4fb2364d,2f2c7919dbc75810da0438af140fd25d32a89f48,dfdd599d1a659264dbbd39a1d6b4c2d662ea89b6,443b3dc22906502a51bd395b32dc19aac2c5f5b4,nikhilwoodruff,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/670,670,126,1,2,66,13,0df7ed40e0930b7e05ff52e309abea93f0086f6e,8ce1e4fdd01c9004485dbd8058e5ad4555790a40,afdf335fdc5528f1aafb1d22cb5d26335b4256d5,0df7ed40e0930b7e05ff52e309abea93f0086f6e,toyamarinyon,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/615,615,126,1,1,0,9,7380df896242dfb0a23d96144df3d7b9340fc2dc,9c0472163a53bca76f65bc827ea222a7fc00ebb3,2061e7c57b05e04d337487aa78e0ef8991632371,7380df896242dfb0a23d96144df3d7b9340fc2dc,toyamarinyon,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/650,650,126,1,1,1,1,271067d6bd334bbab16f1e2237ae300528bbf982,588c6e7413f6c78abcc70ebaa1f9a12e3c4b1421,90b8c732ab488467f0137bfad11aa2dfa7856d30,271067d6bd334bbab16f1e2237ae300528bbf982,toyamarinyon,MERGED
sakaiproject,sakai,https://github.com/sakaiproject/sakai/pull/13538,13538,1151,1,1,10,1,14c56d662cc3bc9ce5bc2162c3e0cd288f9dd0f6,9d181544fdf1ad3761d4243289e5bbb892c175e8,37ff2fe4057c3a5c9258b813d0ebd31b63743e9c,14c56d662cc3bc9ce5bc2162c3e0cd288f9dd0f6,ottenhoff,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30607,30607,32708,1,2,6,4,5192a849bfb7cc5ec009ff0325f774d12eb46980,02e5c56d220e38efeb98879765689168238bc439,a47269cfe2ce522aa3f33ff3982a7e9e466ec12c,5192a849bfb7cc5ec009ff0325f774d12eb46980,hanzei,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/655,655,126,1,1,1,1,9e1c24b23f685d65c53f9cf4c2205dd232aa1507,b135131dbcc7bd2fdfc868ee9063ae25a76c7220,16c5428d9cf2faa2d6c4f7f2493aebf534971309,9e1c24b23f685d65c53f9cf4c2205dd232aa1507,toyamarinyon,MERGED
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/11,11,128,1,1,1,1,7b2179d7f9b640217f1b0eb4eb4aaaa47c7f85d6,025b018b5fc11bc8681a60d70938d17d682e2e72,bfa42c42707adacc45390bf45270f5abc12c1bd1,7b2179d7f9b640217f1b0eb4eb4aaaa47c7f85d6,jamesbrink,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/647,647,126,1,1,4,1,f705a27f81d74fc9b88a46ff3b235b08e05a9622,b53899f7e79956208e25b4b02ad1a8b3ec9807b3,fce4434583d2e7d179268c7481d217e8ef2b4d4c,f705a27f81d74fc9b88a46ff3b235b08e05a9622,toyamarinyon,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/673,673,126,5,1,130,0,9f1336d48e9619836af0fe9a897974d2e7c39646,9a889e24df047b16658160005ee5b3429a1e5039,afdf335fdc5528f1aafb1d22cb5d26335b4256d5,aefbf29227640b31242345fb5a089561b1bba136,toyamarinyon,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30609,30609,32708,5,2,6,4,92478ae964ea9346af87018776e06102c0f95f11,b8bf2e235d0b4497995f6cd749c03be21b83112d,545de8848694704cb1fd76816f1679588ac04f97,755dc7ed73609d08727e5d2c13ee5c3ea3e27383,hanzei,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/649,649,126,2,1,5,8,a518c31e9b250f19f0a430d9ec30509de990df34,544d508886bc5d913466ac08d9e8db1266c5ecbd,90b8c732ab488467f0137bfad11aa2dfa7856d30,097fc49cb1800381a5f0b053acff499d66366e15,toyamarinyon,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/94,94,29,1,1,2,1,c1744c9a90a3bf414778614bf6802da90428b7c5,fd04e69c1cf0b4c1cbcd5fa67948c0538ffbe6a6,54842f1dde4b8751b9f9508aae1cc581e222f0f9,c1744c9a90a3bf414778614bf6802da90428b7c5,hkusu,MERGED
OpenPipe,ART,https://github.com/OpenPipe/ART/pull/10,10,656,1,1,23,0,04f258b93e76ac897a95ad85af1b7c5a6742466a,a6c5ef05497081b7bd8e0e48baa679a162bc43eb,42ae4d999ac44614047629d14abfc8ad9ebe6db5,04f258b93e76ac897a95ad85af1b7c5a6742466a,corbt,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/92,92,29,2,5,14,12,ce16495d02dabacabd7f0cd368f45b4dc4f9f96a,3d45f4909f79f3cfa17201d64544f9cd75f38bc0,54842f1dde4b8751b9f9508aae1cc581e222f0f9,dc900be579c8da9706e8ed8df36a2c1bf0535ac7,hkusu,MERGED
codeforjapan,mapprint,https://github.com/codeforjapan/mapprint/pull/530,530,83,1,5,455,9,74fa47f7a19ef11e2d2da997ef905528fdc81d70,085b2c45f9b84e3ec97f049ccc19f2fe15e81b27,d3c28fc18fde9824be6717252fdf8dabd9d3755c,74fa47f7a19ef11e2d2da997ef905528fdc81d70,halsk,MERGED
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/3,3,128,1,7,178,4,24f8c1059d508a5c77983fc10f0732b98f8427fa,5b0ae2e4d1e7e28de0d0e2bcbfc4c63bc0c4a159,6c8680687c8bf4610f78f9ce9f10018f74ce6200,24f8c1059d508a5c77983fc10f0732b98f8427fa,jamesbrink,MERGED
Nayshins,ummon,https://github.com/Nayshins/ummon/pull/59,59,25,1,1,14,2,ca50f56c1f0396ef126ec8abd822bfc203477700,bada674f188dd0fa7523ab4a7daa0be762e0c3aa,44898bab8c7ced95b34bd8fef8aab3362d953cac,ca50f56c1f0396ef126ec8abd822bfc203477700,Nayshins,MERGED
natolambert,rlhf-book,https://github.com/natolambert/rlhf-book/pull/91,91,990,1,5,107,37,5e9580d3a9357afbf4425ca56620ce725b4deecc,56f51ec02a1192f8247f6fb164be36093247c286,11ee74e45277cadf30a90108b7c6c8b7e0d935fd,5e9580d3a9357afbf4425ca56620ce725b4deecc,natolambert,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/617,617,126,1,1,1,1,6dbaa0090ab8be74311d73c8d9414909dd1cc900,c1d8a9fbca7cb92d25f58c09634db5970d571b95,eb0843c0cc844accdb8167f59f43189c373a767a,6dbaa0090ab8be74311d73c8d9414909dd1cc900,toyamarinyon,MERGED
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/101,101,77,1,1,18,26,f894783a71b67060b3327e247665d9543756e0ab,74f2ef52665b1283e4aa61882edf3748ae45c429,524ab09b7770912c66c42c9f03148cfc7b61e5f6,f894783a71b67060b3327e247665d9543756e0ab,dbieber,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/87,87,29,1,2,59,59,74b51a09566d45344db10be0e070ca3e52b99a08,1bdfc52f82e80c5534908c8b60be8dde0361779d,98a228a88b8ae035d9ffea30dcfe3b4a8e8ab2ef,74b51a09566d45344db10be0e070ca3e52b99a08,hkusu,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/660,660,126,1,1,2,2,b94530a39aa806a03659604bca539e327c2688f0,26ef4ec5fed27707f8095ecc8df0d26b5d652ea2,fe1c2c2c1d38f44fa18f11adfb4133744ffb129c,b94530a39aa806a03659604bca539e327c2688f0,toyamarinyon,MERGED
ltwlf,json-diff-ts,https://github.com/ltwlf/json-diff-ts/pull/222,222,135,3,3,27,2,5e432544e4088eea5da44a5c8fbdf92d78513d09,b74b982148e11e16d6b0d94de97101856382aaa9,6d2cbddce04437ce4e21abdce7bdad65750f1c19,9329f039725840fb06891e1e1baa4d3b78109a85,ltwlf,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/652,652,126,3,2,16,92,95583e59f9eac7eb3f72542f204ec37464f03752,7e8221e96861f965ee3b430748333ebbd4a5a024,588c6e7413f6c78abcc70ebaa1f9a12e3c4b1421,e9fd41794ffbb928ebfe0d0ae7f3b95cbacaa7c2,toyamarinyon,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/91,91,29,7,11,452,30,2ebccce05350100474ab7a877faeeba6187e6f75,54842f1dde4b8751b9f9508aae1cc581e222f0f9,54f6f0cc9cb48f83702353590d70762f66fd3ad9,5bd5723807a749e1ee47d5ed194a510c5ef20851,hkusu,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/639,639,126,4,9,931,12,bb57a2d73d8b073dfc220a68aba1465908b1fba6,a58db30d1b56c5e820881e7d2eab53254e715c66,5064d4fa6b86c01841a3295ea4b57496e20abafc,be5532acaf4b1dce64bb036a5031e14d158b01fe,toyamarinyon,MERGED
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/4,4,128,1,1,18,2,44fa188c7ef05edfb8baf128ab3bd058a2e4df44,5e7931f30cdad8f086c5c301a9f41d54a80d7949,5b0ae2e4d1e7e28de0d0e2bcbfc4c63bc0c4a159,44fa188c7ef05edfb8baf128ab3bd058a2e4df44,jamesbrink,MERGED
alexei-led,aws-mcp-server,https://github.com/alexei-led/aws-mcp-server/pull/11,11,121,6,15,2039,223,077c67fdf533d261df4f5b63e6cc7291a5025965,94d20ae1798a43ac7e3a28e71900d774e5159c8a,aa053adf61f95dd022720e44677a89449adcfbf2,75c3f5766d49b1b1913b7cb9503783c5caf848dc,alexei-led,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/661,661,126,6,16,224,1228,3d25b84fd65629862505bb4f1c58a1cca17108f4,a019fc491e90569791bca3b93ae87757cd2d39c3,0eaa0c1146c7560d26c260d7dc72dba61240754a,083946d553012cd609542016d4af2514b4266407,toyamarinyon,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/716,716,126,10,21,379,17,a08ed35c665f0186f187d2a50f614d14425297b2,16682a35cef02df11ad05373b1be4481b657234a,9ea6135fd12bdf96ffbc5f9223b0e5443c25036f,f7d69051257221f99c178112cafb9a774fc49ffb,toyamarinyon,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/629,629,126,1,3,1150,1464,3b850824d56d96fd96bdea0e545b9611a355c6c7,03424d5419ccb39cd1eb2e7ad4aa64040284971f,4771395af34c21fde43c6f7f0e00042b6aaba07f,3b850824d56d96fd96bdea0e545b9611a355c6c7,toyamarinyon,MERGED
github,github-mcp-server,https://github.com/github/github-mcp-server/pull/118,118,15004,5,3,205,17,e8e9ede8d5745eaed96d5714bbbcc8dcdc43ab99,31471a4b4f42b8c55d79a600f7c12a4b47900858,c77ea94c0270f213382b06f635b5002170b08d32,21424ecbaf03ae8073a28916be1b3ffe9eb39e7f,ashwin-ant,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/611,611,126,1,2,2,2,80ed2402687049951e43fe1bbfac0ae53e47c9a9,4914c49328039935d78ec9e27212fe6448a9cade,c7dec716b2464684fb156cf4a8c63092c1e48c2a,80ed2402687049951e43fe1bbfac0ae53e47c9a9,toyamarinyon,MERGED
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/49,49,23,1,1,123,6,2b64037d1cc58c2fb8be3d5ac7d91689a6f0beb2,e7ba4c9f88b375907cb79b8596b36e904626567c,825e9b9a7a080df57ac9a99c7d652337f75c0dd8,2b64037d1cc58c2fb8be3d5ac7d91689a6f0beb2,austinlparker,MERGED
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/14,14,128,3,11,133,47,62948afbea40c178af53dd5c9b35c13bc682d984,1facbfaecb0e327c56ca19fe35b9ae390ac3f8af,f6b22f40ef8d20b4a2d6f1136a1e3cdf85388a4a,2dd753abd97911a99d87f740030371faa9227ccc,jamesbrink,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/607,607,126,4,1,24,3,500df74b9a4cd7c38b20e3d0c14b62632ef62558,37f5e402005412c0fedb3322cd6576f22546a665,88f97bb90c391578932751b95132b77cb5963b58,552b42884e1e86f5773313cc253ce06613ef034e,toyamarinyon,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30608,30608,32708,1,2,2,2,c1621cc5525040abc55506c86e30837c2239b5d4,748f8227e364c87697f549787888cf1cbafd5d7d,a47269cfe2ce522aa3f33ff3982a7e9e466ec12c,c1621cc5525040abc55506c86e30837c2239b5d4,hanzei,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/659,659,126,5,6,650,1102,da3ddef5fb260e0d2dbe89e069ad6010c30063c8,fb590b3f4f29330f3fc2fcd5430ed7e5665464b2,b20b5f6ef11cdf28098c30923eb3ed5529ba9e61,6c12e1bf20d191ad1bc27dc4802f7a1942e00884,toyamarinyon,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/624,624,126,2,3,493,32,f487b447a6c7ddbebc8f69f2fec30f72848293f8,d2dc14953c23f7c131c88f5d4b9738819d19607f,054d3f8808e58ab9e2929626d2a41fcdeb757137,ec759a222a4bb21f06b6a2f34e6d6a7931262af5,toyamarinyon,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/600,600,126,1,1,1,1,30ea8ce0c6f8afb257aff605347b6aace4f90ff7,f9d603b5801029c0e046fccb038b933b59ee4dfb,7c545b78f2d4e4fec1b3ca14fad7fea28b79b1df,30ea8ce0c6f8afb257aff605347b6aace4f90ff7,toyamarinyon,MERGED
haya14busa,action-bumpr,https://github.com/haya14busa/action-bumpr/pull/46,46,94,3,5,32,49,ec8c2ba4e27b7249cdb2ccb65db16d1d33463200,6761e0aa74890cdca47b206a544cb215f8b03fa0,78ab5a104d20896c9c9122c64221b3aecf1a8cbb,cc3919896691526e1dee94331eef798a601a4628,haya14busa,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/645,645,126,2,1,275,53,5a2330d410ac85666669183ed52060f2855b3370,4f51881d76362f3d642abc648fba3c64ca6708da,c50e8d823104bbc22c74acfe952d78985003a554,4e35ea229465b46a5ad3c79ee62865abd7419256,toyamarinyon,MERGED
