owner,repo_name,pull_number,url,state,revision_commit,revision_total_additions,revision_total_deletions,revision_total_change_lines,revision_file_change,Co-authored commits number,initial_total_additions,initial_total_deletions,initial_change_lines,initial_file_change
giselles-ai,giselle,416,https://github.com/giselles-ai/giselle/pull/416,MERGED,2,24,46,70,1,0,43,4,47,4
giselles-ai,giselle,420,https://github.com/giselles-ai/giselle/pull/420,MERGED,22,1721,2458,4179,96,0,0,0,0,0
giselles-ai,giselle,421,https://github.com/giselles-ai/giselle/pull/421,MERGED,3,66,4,70,1,0,1316,34,1350,18
giselles-ai,giselle,465,https://github.com/giselles-ai/giselle/pull/465,MERGED,3,165,4,169,4,0,190,10,200,20
giselles-ai,giselle,499,https://github.com/giselles-ai/giselle/pull/499,MERGED,7,52,55,107,2,0,4750,2020,6770,91
giselles-ai,giselle,584,https://github.com/giselles-ai/giselle/pull/584,MERGED,5,8,2629,2637,15,0,0,7061,7061,55
giselles-ai,giselle,684,https://github.com/giselles-ai/giselle/pull/684,MERGED,14,614,118,732,15,0,398,30,428,12
giselles-ai,giselle,707,https://github.com/giselles-ai/giselle/pull/707,MERGED,3,14,9,23,2,0,204,52,256,10
giselles-ai,giselle,708,https://github.com/giselles-ai/giselle/pull/708,MERGED,1,2,2,4,1,0,109,144,253,4
giselles-ai,giselle,755,https://github.com/giselles-ai/giselle/pull/755,MERGED,2,8,6,14,1,0,668,156,824,36
giselles-ai,giselle,764,https://github.com/giselles-ai/giselle/pull/764,MERGED,1,1,1,2,0,0,140,8,148,6
giselles-ai,giselle,785,https://github.com/giselles-ai/giselle/pull/785,MERGED,1,2,1,3,0,0,280,87,367,14
github,github-mcp-server,356,https://github.com/github/github-mcp-server/pull/356,MERGED,7,832,91,923,4,2,0,0,0,0
goodjoblife,GoodJobShare,1322,https://github.com/goodjoblife/GoodJobShare/pull/1322,MERGED,1,4,14,18,0,0,111,129,240,6
grafana,loki,13731,https://github.com/grafana/loki/pull/13731,MERGED,21,3107,690,3797,27,0,0,0,0,0
grapeot,web_agentic_ai,26,https://github.com/grapeot/web_agentic_ai/pull/26,MERGED,6,1864,1605,3469,11,0,413,116,529,11
hicommonwealth,commonwealth,11320,https://github.com/hicommonwealth/commonwealth/pull/11320,MERGED,1,3,2,5,0,0,1,2,3,1
