owner,repo_name,pull_number,url,state,revision_commit,revision_total_additions,revision_total_deletions,revision_total_change_lines,revision_file_change,Co-authored commits number,initial_total_additions,initial_total_deletions,initial_change_lines,initial_file_change
dbieber,GoNoteGo,104,https://github.com/dbieber/GoNoteGo/pull/104,MERGED,2,23,20,43,1,1,19,5,24,1
dbieber,GoNoteGo,106,https://github.com/dbieber/GoNoteGo/pull/106,MERGED,16,628,816,1444,0,0,447,202,649,6
dbieber,GoNoteGo,110,https://github.com/dbieber/GoNoteGo/pull/110,MERGED,3,7,8,15,0,3,4,0,4,1
dbieber,GoNoteGo,114,https://github.com/dbieber/GoNoteGo/pull/114,MERGED,3,23,19,42,5,3,25,7,32,2
dbieber,GoNoteGo,115,https://github.com/dbieber/GoNoteGo/pull/115,MERGED,4,194,187,381,1,4,179,0,179,6
defog-ai,defog-python,80,https://github.com/defog-ai/defog-python/pull/80,MERGED,1,7,5,12,0,0,66,7,73,2
defog-ai,defog-python,83,https://github.com/defog-ai/defog-python/pull/83,MERGED,2,11,5,16,1,1,18,11,29,1
defog-ai,introspect,427,https://github.com/defog-ai/introspect/pull/427,MERGED,1,1853,372,2225,0,1,705,8,713,3
defog-ai,introspect,449,https://github.com/defog-ai/introspect/pull/449,MERGED,1,1,1,2,1,0,75,135,210,6
defog-ai,introspect,484,https://github.com/defog-ai/introspect/pull/484,MERGED,1,1,1,2,1,0,92,0,92,1
douvy,btc-tooling,11,https://github.com/douvy/btc-tooling/pull/11,MERGED,2,6,2,8,1,0,399,5,404,5
dxos,dxos,8814,https://github.com/dxos/dxos/pull/8814,MERGED,11,1481,740,2221,209,0,338,262,600,4
expectedparrot,edsl,1723,https://github.com/expectedparrot/edsl/pull/1723,MERGED,8,2163,301,2464,17,8,185,25,210,4
expectedparrot,edsl,1850,https://github.com/expectedparrot/edsl/pull/1850,MERGED,1,466,5,471,2,1,899,4,903,9
fossas,fossa-cli,1514,https://github.com/fossas/fossa-cli/pull/1514,MERGED,8,770,527,1297,10,0,146,1,147,5
geneontology,go-ontology,30145,https://github.com/geneontology/go-ontology/pull/30145,MERGED,1,3,3,6,0,1,4,0,4,1
giselles-ai,giselle,481,https://github.com/giselles-ai/giselle/pull/481,MERGED,1,22,14,36,0,0,54,15,69,1
giselles-ai,giselle,508,https://github.com/giselles-ai/giselle/pull/508,MERGED,1,6,6,12,0,0,105,98,203,1
giselles-ai,giselle,555,https://github.com/giselles-ai/giselle/pull/555,MERGED,2,9,2,11,3,0,29,7,36,1
giselles-ai,giselle,562,https://github.com/giselles-ai/giselle/pull/562,MERGED,3,94,21,115,5,3,0,0,0,0
giselles-ai,giselle,571,https://github.com/giselles-ai/giselle/pull/571,MERGED,1,9,9,18,0,0,249,80,329,12
giselles-ai,giselle,582,https://github.com/giselles-ai/giselle/pull/582,MERGED,2,406,250,656,5,0,0,0,0,0
giselles-ai,giselle,607,https://github.com/giselles-ai/giselle/pull/607,MERGED,3,15,7,22,0,1,16,3,19,1
giselles-ai,giselle,618,https://github.com/giselles-ai/giselle/pull/618,MERGED,1,4,0,4,2,0,92,25,117,9
giselles-ai,giselle,621,https://github.com/giselles-ai/giselle/pull/621,MERGED,1,1,1,2,1,0,212,62,274,6
giselles-ai,giselle,632,https://github.com/giselles-ai/giselle/pull/632,MERGED,1,3,24,27,0,0,329,137,466,3
giselles-ai,giselle,639,https://github.com/giselles-ai/giselle/pull/639,MERGED,1,8,8,16,1,0,923,4,927,8
giselles-ai,giselle,641,https://github.com/giselles-ai/giselle/pull/641,MERGED,1,2,1,3,1,0,112,776,888,7
giselles-ai,giselle,646,https://github.com/giselles-ai/giselle/pull/646,MERGED,1,1,2,3,0,0,181,107,288,9
giselles-ai,giselle,649,https://github.com/giselles-ai/giselle/pull/649,MERGED,1,0,1,1,0,0,6,8,14,1
giselles-ai,giselle,661,https://github.com/giselles-ai/giselle/pull/661,MERGED,6,224,1228,1452,23,0,0,0,0,0
giselles-ai,giselle,673,https://github.com/giselles-ai/giselle/pull/673,MERGED,1,1,1,2,0,0,273,143,416,1
giselles-ai,giselle,687,https://github.com/giselles-ai/giselle/pull/687,MERGED,1,9,9,18,1,0,537,528,1065,4
giselles-ai,giselle,695,https://github.com/giselles-ai/giselle/pull/695,MERGED,2,13,8,21,1,0,267,475,742,40
giselles-ai,giselle,697,https://github.com/giselles-ai/giselle/pull/697,MERGED,1,1,17,18,0,0,54,38,92,5
giselles-ai,giselle,716,https://github.com/giselles-ai/giselle/pull/716,MERGED,5,7159,12066,19225,0,0,410,28,438,21
giselles-ai,giselle,717,https://github.com/giselles-ai/giselle/pull/717,MERGED,1,1,1,2,1,0,23,36,59,4
giselles-ai,giselle,718,https://github.com/giselles-ai/giselle/pull/718,MERGED,1,1,2,3,1,0,0,128,128,4
giselles-ai,giselle,735,https://github.com/giselles-ai/giselle/pull/735,MERGED,2,58,5,63,1,0,360,24,384,14
giselles-ai,giselle,743,https://github.com/giselles-ai/giselle/pull/743,MERGED,3,135,11,146,2,0,146,55,201,11
giselles-ai,giselle,744,https://github.com/giselles-ai/giselle/pull/744,MERGED,1,5,2,7,2,0,4,4,8,1
giselles-ai,giselle,768,https://github.com/giselles-ai/giselle/pull/768,MERGED,1,3,3,6,1,0,30,30,60,3
github,github-mcp-server,118,https://github.com/github/github-mcp-server/pull/118,MERGED,3,216,28,244,3,2,0,0,0,0
goodjoblife,GoodJobShare,1520,https://github.com/goodjoblife/GoodJobShare/pull/1520,MERGED,17,2130,1030,3160,105,0,286,128,414,15
grapeot,web_agentic_ai,28,https://github.com/grapeot/web_agentic_ai/pull/28,MERGED,3,156,35,191,1,3,219,32,251,5
haya14busa,action-bumpr,46,https://github.com/haya14busa/action-bumpr/pull/46,MERGED,2,21,32,53,3,0,11,17,28,2
