owner,repo_name,url,state,stars
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/769,MERGED,126
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30672,MERGED,32708
cpunion,axum-params,https://github.com/cpunion/axum-params/pull/1,MERGED,12
ApeWorX,ape,https://github.com/ApeWorX/ape/pull/2122,MERGED,968
ascorbic,unpic-img,https://github.com/ascorbic/unpic-img/pull/720,MERGED,1728
proboscis,pinjected,https://github.com/proboscis/pinjected/pull/21,MERGED,14
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/47,MERGED,29
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/162,MERGED,126
axelclark,ex338,https://github.com/axelclark/ex338/pull/1353,MERGED,24
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/561,MERGED,250
py-typedlogic,py-typedlogic,https://github.com/py-typedlogic/py-typedlogic/pull/1,MERGED,12
artsy,eigen,https://github.com/artsy/eigen/pull/10595,MERGED,3667
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/68,MERGED,77
aleph-im,pyaleph,https://github.com/aleph-im/pyaleph/pull/599,MERGED,90
pymc-devs,pytensor,https://github.com/pymc-devs/pytensor/pull/966,MERGED,466
llun,activities.next,https://github.com/llun/activities.next/pull/80,MERGED,68
bearcove,dylo,https://github.com/bearcove/dylo/pull/1,MERGED,20
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/31,MERGED,109
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/28260,MERGED,32708
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/17,MERGED,29
brentyi,tyro,https://github.com/brentyi/tyro/pull/201,MERGED,646
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/193,MERGED,126
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/58,MERGED,29
anthropics,anthropic-quickstarts,https://github.com/anthropics/anthropic-quickstarts/pull/262,MERGED,8994
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/75,MERGED,29
artsy,force,https://github.com/artsy/force/pull/14112,MERGED,615
567-labs,instructor,https://github.com/567-labs/instructor/pull/1030,MERGED,10691
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/54,MERGED,23
mc-bench,mc-bench-backend,https://github.com/mc-bench/mc-bench-backend/pull/121,MERGED,29
commontoolsinc,labs,https://github.com/commontoolsinc/labs/pull/314,MERGED,18
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/684,MERGED,126
fossas,fossa-cli,https://github.com/fossas/fossa-cli/pull/1424,MERGED,1392
doobidoo,mcp-memory-service,https://github.com/doobidoo/mcp-memory-service/pull/17,MERGED,353
beekeeper-studio,beekeeper-studio,https://github.com/beekeeper-studio/beekeeper-studio/pull/2853,MERGED,19376
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/9,MERGED,128
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/27957,MERGED,32708
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/16157,MERGED,9923
sakaiproject,sakai,https://github.com/sakaiproject/sakai/pull/12599,MERGED,1151
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/167,MERGED,126
567-labs,instructor,https://github.com/567-labs/instructor/pull/1378,MERGED,10691
C-Loftus,talon-ai-tools,https://github.com/C-Loftus/talon-ai-tools/pull/181,MERGED,69
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/72,MERGED,126
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/30,MERGED,18
cloudflare,workerd,https://github.com/cloudflare/workerd/pull/3118,MERGED,6767
lipas-liikuntapaikat,lipas,https://github.com/lipas-liikuntapaikat/lipas/pull/148,MERGED,74
brentyi,tyro,https://github.com/brentyi/tyro/pull/182,MERGED,646
beekeeper-studio,beekeeper-studio,https://github.com/beekeeper-studio/beekeeper-studio/pull/2803,MERGED,19376
shandley,awesome-virome,https://github.com/shandley/awesome-virome/pull/59,MERGED,36
shandley,awesome-virome,https://github.com/shandley/awesome-virome/pull/55,MERGED,36
MaiM-with-u,MaiBot,https://github.com/MaiM-with-u/MaiBot/pull/174,MERGED,2551
etalab,admin_api_entreprise,https://github.com/etalab/admin_api_entreprise/pull/1703,MERGED,11
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/106,MERGED,126
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/37,MERGED,29
coder,vscode-coder,https://github.com/coder/vscode-coder/pull/421,MERGED,85
Shopify,app_profiler,https://github.com/Shopify/app_profiler/pull/167,MERGED,247
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/26,MERGED,109
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/2,MERGED,20
metabase,metabase,https://github.com/metabase/metabase/pull/56391,MERGED,42215
goodjoblife,GoodJobShare,https://github.com/goodjoblife/GoodJobShare/pull/1322,MERGED,123
modelcontextprotocol,typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk/pull/20,MERGED,7347
brentyi,tyro,https://github.com/brentyi/tyro/pull/199,MERGED,646
tomakado,dumbql,https://github.com/tomakado/dumbql/pull/5,MERGED,46
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/477,MERGED,126
turlockmike,hataraku,https://github.com/turlockmike/hataraku/pull/61,MERGED,31
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/60,MERGED,77
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/227,MERGED,126
artsy,eigen,https://github.com/artsy/eigen/pull/11810,MERGED,3667
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/766,MERGED,126
prescient-design,cortex,https://github.com/prescient-design/cortex/pull/19,MERGED,41
devondragon,SpringUserFramework,https://github.com/devondragon/SpringUserFramework/pull/148,MERGED,152
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/288,MERGED,126
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/70,MERGED,29
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/24,MERGED,29
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/27388,MERGED,32708
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30789,MERGED,32708
douvy,btc-tooling,https://github.com/douvy/btc-tooling/pull/23,MERGED,27
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/36,MERGED,126
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/59,MERGED,29
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1772,MERGED,250
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/250,MERGED,126
mc-bench,mc-bench-frontend,https://github.com/mc-bench/mc-bench-frontend/pull/12,MERGED,16
coder,coder,https://github.com/coder/coder/pull/17223,MERGED,9997
poap-xyz,poap.js,https://github.com/poap-xyz/poap.js/pull/136,MERGED,12
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30582,MERGED,32708
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/8,MERGED,128
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/22,MERGED,109
mc-bench,mc-bench-frontend,https://github.com/mc-bench/mc-bench-frontend/pull/150,MERGED,16
brentyi,tyro,https://github.com/brentyi/tyro/pull/189,MERGED,646
sublime-security,sublime-rules,https://github.com/sublime-security/sublime-rules/pull/1677,MERGED,310
basicmachines-co,basic-memory,https://github.com/basicmachines-co/basic-memory/pull/4,MERGED,811
umputun,spot,https://github.com/umputun/spot/pull/213,MERGED,441
INCATools,ontology-access-kit,https://github.com/INCATools/ontology-access-kit/pull/749,MERGED,142
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/81,MERGED,126
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/642,MERGED,250
pozar87,apts,https://github.com/pozar87/apts/pull/8,MERGED,10
MaiM-with-u,MaiBot,https://github.com/MaiM-with-u/MaiBot/pull/194,MERGED,2551
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/50,MERGED,29
mc-bench,mc-bench-backend,https://github.com/mc-bench/mc-bench-backend/pull/98,MERGED,29
alexei-led,aws-mcp-server,https://github.com/alexei-led/aws-mcp-server/pull/5,MERGED,121
google,tensorstore,https://github.com/google/tensorstore/pull/187,MERGED,1412
tomakado,dumbql,https://github.com/tomakado/dumbql/pull/8,MERGED,46
zenml-io,zenml,https://github.com/zenml-io/zenml/pull/2725,MERGED,4620
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/67,MERGED,77
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/19,MERGED,18
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/258,MERGED,126
Tiberriver256,mcp-server-azure-devops,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/161,MERGED,229
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/29799,MERGED,32708
qltysh,qlty,https://github.com/qltysh/qlty/pull/1209,MERGED,2655
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/2,MERGED,128
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/26,MERGED,23
coder,coder,https://github.com/coder/coder/pull/14937,MERGED,9997
